epoch,acc,loss,lr,val_acc,val_loss
0,0.51024,2.3947696215057372,0.1,0.5143,2.5485997531987445
1,0.69344,1.4889986352920532,0.1,0.6123,1.7541445810583574
2,0.75524,1.137883150215149,0.1,0.7332,1.1685170425644404
3,0.78074,0.9791495174407959,0.1,0.5826,1.7482067391842226
4,0.79808,0.9002387080001831,0.1,0.6474,1.4282146541378167
5,0.81018,0.8527743028450012,0.1,0.642,1.6213163333603098
6,0.81666,0.8310010038948059,0.1,0.7828,0.933593209031262
7,0.8249,0.8150060527610778,0.1,0.6756,1.3604561754419833
8,0.82994,0.8051275439071656,0.1,0.6438,1.4361276370060594
9,0.83364,0.7916903142738342,0.1,0.6576,1.406348761123947
10,0.83748,0.7884158684539795,0.1,0.604,1.7776174183133282
11,0.84172,0.7777504885864258,0.1,0.6989,1.1822335712517364
12,0.84454,0.7752486793327331,0.1,0.7097,1.226462647884707
13,0.84616,0.7736274202919007,0.1,0.7747,0.9826011137117313
14,0.84856,0.7677017935943603,0.1,0.7262,1.1483053014248232
15,0.8508,0.765969111289978,0.1,0.7793,0.9786538285545155
16,0.85288,0.7657604444885254,0.1,0.7177,1.226914250397984
17,0.85554,0.7576977772331238,0.1,0.7059,1.3081483388248878
18,0.85676,0.7623557098007202,0.1,0.7904,0.9689656707304942
19,0.85898,0.7569091863250732,0.1,0.7608,1.0835079075414924
20,0.85944,0.7590698615646362,0.1,0.7514,1.077431144593637
21,0.86278,0.7504170817947388,0.1,0.7205,1.1948094186903555
22,0.86024,0.7547073371696472,0.1,0.6569,1.5345349326918396
23,0.86394,0.7528746799850464,0.1,0.7922,1.0022250172458118
24,0.86388,0.7504703302574157,0.1,0.7902,0.9905544194994094
25,0.86398,0.7486530557823181,0.1,0.6324,1.9504295391372488
26,0.8646,0.7479787156486511,0.1,0.7989,0.9650952793374846
27,0.86594,0.7507044922828674,0.1,0.7989,0.9488261108157001
28,0.86752,0.7465679542922974,0.1,0.7708,1.0397897279715236
29,0.86848,0.7485481914520263,0.1,0.7866,1.0063187344164788
30,0.86808,0.7512445893287659,0.1,0.7186,1.250640107106559
31,0.86956,0.7458253219604493,0.1,0.5717,1.728146731098996
32,0.86718,0.7541486946105957,0.1,0.7578,1.1322273861003826
33,0.86892,0.7539054419326783,0.1,0.762,1.117575821242755
34,0.87,0.7541549991989136,0.1,0.8209,0.9112884787064565
35,0.87158,0.7523023560142517,0.1,0.8181,0.9209626030318344
36,0.87194,0.7483439529037476,0.1,0.7318,1.3558901661558995
37,0.8716,0.7538920146560669,0.1,0.7665,1.083418504346775
38,0.87126,0.745609384841919,0.1,0.7592,1.1296485692639895
39,0.87234,0.7445818839645386,0.1,0.6815,1.497719342195535
40,0.87266,0.7522127863311767,0.1,0.7304,1.2126386361786081
41,0.87364,0.7449578721809387,0.1,0.7918,1.007356792311125
42,0.873,0.7486473703193665,0.1,0.7634,1.1142637744734558
43,0.8761,0.7468141759300232,0.1,0.602,1.5929833016818082
44,0.87544,0.7456126435279846,0.1,0.7519,1.1437796565550793
45,0.87466,0.7476452119064331,0.1,0.8026,0.9739286892021759
46,0.87552,0.7495214721870422,0.1,0.7553,1.1348819906198526
47,0.8765,0.7465428216552734,0.1,0.7576,1.1024870540522322
48,0.87694,0.7443383782958984,0.1,0.7626,1.1904271101649804
49,0.87756,0.7432635878372192,0.1,0.8208,0.9150248381155955
50,0.87874,0.7431407612037658,0.1,0.7947,0.9857634509666057
51,0.87756,0.7488414590644836,0.1,0.7525,1.1238913060743598
52,0.87536,0.7469864838027954,0.1,0.8196,0.9240110554272616
53,0.87672,0.7530001787948608,0.1,0.738,1.3181798488278933
54,0.87768,0.7464047579956055,0.1,0.773,1.0494345019135294
55,0.87734,0.7474475241661072,0.1,0.7788,1.032112280024758
56,0.87838,0.7459238771057128,0.1,0.7898,1.0094468223897717
57,0.87788,0.7451450702476502,0.1,0.7996,0.9713721418682533
58,0.87844,0.7427591670227051,0.1,0.8253,0.9203363988972917
59,0.87818,0.7401720343399047,0.1,0.8254,0.9395012116130395
60,0.8799,0.7454407497406006,0.1,0.7573,1.1736346792571153
61,0.87704,0.7497032256698608,0.1,0.7673,1.1218478785285466
62,0.9259,0.5964597048950195,0.02,0.9075,0.615888155713866
63,0.94422,0.49392172973632814,0.02,0.9167,0.5537985404835472
64,0.94992,0.4395702180862427,0.02,0.9108,0.5411231864856768
65,0.95224,0.403265957736969,0.02,0.9126,0.5233365455760232
66,0.95242,0.37899998888015746,0.02,0.8813,0.6132147127314459
67,0.9516,0.3690198404312134,0.02,0.8794,0.6056647851497312
68,0.95166,0.35871095103263856,0.02,0.9058,0.5015745577932913
69,0.94836,0.35734129758834837,0.02,0.8659,0.6546831957147091
70,0.95,0.3512631017684937,0.02,0.8953,0.5313373668284356
71,0.95154,0.3455352256011963,0.02,0.8776,0.6032284452945371
72,0.94806,0.354488099155426,0.02,0.8809,0.6143270478218417
73,0.9505,0.350034967880249,0.02,0.8864,0.5653189145311525
74,0.95212,0.3460624636363983,0.02,0.8701,0.6602485213853135
75,0.94916,0.35103361457824706,0.02,0.8813,0.5842663985264452
76,0.95254,0.34501504155158996,0.02,0.8788,0.5822653374339961
77,0.95176,0.3475797433662415,0.02,0.8439,0.7619974779177315
78,0.95108,0.3490365329837799,0.02,0.8796,0.5985153490983988
79,0.95258,0.3496045522880554,0.02,0.8918,0.5547215923478331
80,0.95156,0.35313626408576965,0.02,0.8796,0.5965649734569501
81,0.95242,0.35213153432846067,0.02,0.8988,0.5400094680393799
82,0.95312,0.34942714941024783,0.02,0.8926,0.5542547118060196
83,0.95386,0.3518665337753296,0.02,0.8887,0.5697744681110865
84,0.95182,0.3551437656021118,0.02,0.8747,0.6178900135468833
85,0.95454,0.34778860105514525,0.02,0.8738,0.6242991270898264
86,0.95514,0.34812936475753786,0.02,0.8715,0.6877910472169707
87,0.95464,0.35011715604782107,0.02,0.8811,0.6278351417070702
88,0.95534,0.35215431561470034,0.02,0.8848,0.6022996781747553
89,0.95676,0.34785460638046267,0.02,0.8891,0.6026818292050422
90,0.9539,0.35551539909362795,0.02,0.8778,0.6263824569273598
91,0.95522,0.3540700230407715,0.02,0.8911,0.5714984985092019
92,0.95636,0.35088799184799196,0.02,0.8701,0.7078414698944816
93,0.95568,0.3550947866821289,0.02,0.87,0.706440501197984
94,0.9551,0.3575492348480225,0.02,0.8952,0.5788844835154617
95,0.95596,0.3539876361274719,0.02,0.9043,0.5436624473408808
96,0.95846,0.34716704195022585,0.02,0.8558,0.692222220233724
97,0.95792,0.3501634944534302,0.02,0.89,0.589083528216881
98,0.9564,0.3507175160884857,0.02,0.8786,0.6533039080191262
99,0.95726,0.3504268373680115,0.02,0.8827,0.6102895253821264
100,0.9568,0.3528579001617432,0.02,0.8921,0.5783100501645969
101,0.95736,0.35548424421310426,0.02,0.8752,0.6415368484545357
102,0.95672,0.3545952513027191,0.02,0.8874,0.6165504685685604
103,0.95796,0.35239539783477786,0.02,0.8689,0.6785452101804033
104,0.95798,0.3523228759098053,0.02,0.8705,0.6735873478877393
105,0.95968,0.35069034435272217,0.02,0.8947,0.5930237849301929
106,0.95422,0.3633533900260925,0.02,0.8877,0.6237427788444713
107,0.95788,0.35665041126251223,0.02,0.8899,0.6247644081145902
108,0.95864,0.35484719961166383,0.02,0.8468,0.778015149545066
109,0.95954,0.35116662786483765,0.02,0.8682,0.6690036269682872
110,0.95908,0.35617270597457884,0.02,0.8931,0.5976799462414994
111,0.95854,0.35791908538818357,0.02,0.9009,0.550083415040487
112,0.96046,0.3509607509994507,0.02,0.8762,0.67572997001153
113,0.95886,0.3550013173675537,0.02,0.8847,0.6205532135842722
114,0.95878,0.3563138013744354,0.02,0.8773,0.6749818102468418
115,0.95992,0.349976683177948,0.02,0.884,0.6502923576892177
116,0.95992,0.35450277963638305,0.02,0.8877,0.6162385336960419
117,0.95836,0.35594586265563966,0.02,0.8918,0.6248175792301758
118,0.95916,0.35571079615592954,0.02,0.8871,0.6265077323098726
119,0.95564,0.36584225666046144,0.02,0.8961,0.5793226138700412
120,0.9593,0.3562196793556213,0.02,0.8762,0.6684763955919049
121,0.96128,0.3525764183330536,0.02,0.8931,0.6015543775467933
122,0.95836,0.3541632672977448,0.02,0.8895,0.6101855039596558
123,0.97916,0.29956841751098634,0.004,0.9361,0.4320576907713202
124,0.98996,0.26383842489242554,0.004,0.9398,0.42925087937825845
125,0.99318,0.24848266410827638,0.004,0.9384,0.4250711881661717
126,0.99496,0.23715150938034057,0.004,0.9401,0.42133320396459556
127,0.99494,0.22889577909469605,0.004,0.9419,0.42079341939733
128,0.99626,0.2189496585226059,0.004,0.9432,0.4115377449536625
129,0.99646,0.21293891951084137,0.004,0.9426,0.40967360214342047
130,0.99664,0.20520717367172242,0.004,0.9408,0.409827663551403
131,0.99754,0.197835396194458,0.004,0.9435,0.4103789931233925
132,0.99746,0.1920318617105484,0.004,0.9424,0.40456976901881303
133,0.99782,0.18582729623794556,0.004,0.9408,0.409845212403732
134,0.99804,0.180048286857605,0.004,0.9407,0.40776870484593547
135,0.99838,0.17403269294738768,0.004,0.9412,0.4100698225105865
136,0.9982,0.16935492649555206,0.004,0.9411,0.4022578791349749
137,0.99778,0.16531385541439056,0.004,0.9407,0.4162700694950321
138,0.99758,0.1611458770465851,0.004,0.9417,0.39447066376480877
139,0.99796,0.15634258817195892,0.004,0.9382,0.4176183292005636
140,0.99732,0.15403708868980406,0.004,0.9395,0.39409121323989915
141,0.99752,0.14947801510334016,0.004,0.938,0.3889262830909294
142,0.99768,0.14545744454860687,0.004,0.9411,0.38366682091845744
143,0.99806,0.14042015060424803,0.004,0.9397,0.39434049042719826
144,0.99756,0.1379496798801422,0.004,0.9389,0.39160321275644666
145,0.99674,0.13703595141410826,0.004,0.9402,0.38302769106400164
146,0.9969,0.13318322563171386,0.004,0.9353,0.4055931802037396
147,0.99634,0.13178605440378188,0.004,0.9354,0.42151483497287656
148,0.9961,0.12995487594604493,0.004,0.9325,0.4102828065051308
149,0.99672,0.12615849797487258,0.004,0.9327,0.3966082973948008
150,0.99636,0.12451015750646591,0.004,0.9337,0.3802311088465437
151,0.995,0.12566703518390657,0.004,0.9274,0.4292885125437869
152,0.99478,0.12437843660831452,0.004,0.9278,0.40562249833269964
153,0.99412,0.12394912770271302,0.004,0.9258,0.4223178434598295
154,0.99472,0.12140149519681931,0.004,0.9325,0.3906140708470646
155,0.99508,0.11970888491630555,0.004,0.9279,0.4103024711337271
156,0.9943,0.11851919822454453,0.004,0.9297,0.40058466395999814
157,0.99372,0.11923697919130326,0.004,0.9286,0.38591849766200104
158,0.9944,0.11539188880443572,0.004,0.932,0.3883355516421644
159,0.99462,0.11402657717704773,0.004,0.9295,0.3951134847689278
160,0.99374,0.11448534931182862,0.004,0.9319,0.3852040508314024
161,0.99316,0.11554310220003128,0.004,0.9184,0.42871856104724015
162,0.99252,0.1172745421218872,0.004,0.9313,0.38338423963589
163,0.99206,0.11714657282829284,0.004,0.9283,0.3857485023857672
164,0.9956,0.10666563871383666,0.0008,0.9409,0.3226559646899187
165,0.99844,0.09927319574832916,0.0008,0.9423,0.3228174636635599
166,0.99878,0.09735882443189621,0.0008,0.9428,0.32415093839923037
167,0.99918,0.09558905361652374,0.0008,0.9431,0.32417081918897506
168,0.99918,0.09507789838314057,0.0008,0.9436,0.325411821467967
169,0.9992,0.09412413220882415,0.0008,0.9441,0.3202879462815538
170,0.99922,0.09338126854419708,0.0008,0.9438,0.325269607426245
171,0.99968,0.09193969481945038,0.0008,0.9445,0.3260856989441039
172,0.9997,0.09112036785840988,0.0008,0.9441,0.3280413665726215
173,0.9994,0.091009762840271,0.0008,0.9444,0.3275189554389519
174,0.99962,0.09004425985097884,0.0008,0.9439,0.3241882177093361
175,0.9994,0.08961921915531158,0.0008,0.9452,0.328547308150726
176,0.99962,0.08888353021144867,0.0008,0.9454,0.3281625871416889
177,0.99968,0.08807497021675109,0.0008,0.9431,0.33150927005689357
178,0.99972,0.08732328182458877,0.0008,0.9446,0.3314554544189308
179,0.9998,0.08672216682672501,0.0008,0.9445,0.3320864835117437
180,0.99976,0.08609986361265183,0.0008,0.9452,0.3328823134114471
181,0.99984,0.08558485004663467,0.0008,0.9452,0.33570399823822555
182,0.99982,0.0847883020401001,0.0008,0.9452,0.33184857044038896
183,0.99982,0.08445789364814758,0.0008,0.9449,0.33170517675484285
184,0.99976,0.08396268395900726,0.0008,0.9447,0.33440292164494717
185,0.99962,0.08360920788288116,0.0008,0.9443,0.33419311499293847
186,0.99986,0.08277322684526443,0.0008,0.945,0.33381489183329327
187,0.99984,0.08221514384746552,0.0008,0.9458,0.3318241546048394
188,0.99976,0.0816226239848137,0.0008,0.9453,0.3309317732913585
189,0.99984,0.0811672787284851,0.0008,0.9447,0.3319060178119925
190,0.99982,0.08056328053712845,0.0008,0.9454,0.3326681559976143
191,0.9999,0.08004119505882264,0.0008,0.9461,0.334544935747038
192,0.99986,0.07946298446416855,0.0008,0.9454,0.3375460073540482
193,0.99992,0.07889335615396499,0.0008,0.9448,0.33717785907697073
194,0.99986,0.07850332902431488,0.0008,0.9454,0.33350795714915554
195,0.99996,0.07788558960676194,0.0008,0.9459,0.33439261211624627
196,0.9998,0.07757012647867202,0.0008,0.9461,0.3331538108707983
197,0.99988,0.07704237041473389,0.0008,0.9458,0.33055095487757574
198,0.99998,0.07634657887935638,0.0008,0.9464,0.3338470287338088
199,0.99982,0.07608493001937866,0.0008,0.946,0.33700669717185106
200,0.99988,0.07562617725372314,0.0008,0.947,0.3350619138041629
201,0.99986,0.07514448994159699,0.0008,0.9463,0.33553050533880163
202,0.99998,0.07449501561403274,0.0008,0.9462,0.3365204902012137
203,0.9999,0.07417318171977996,0.0008,0.9463,0.33613866001744813
204,0.9999,0.07376823111772537,0.0008,0.9461,0.3345971431913255
